type_habit,prix,image_lien,quartier,region
Vêtementsenfants3,12000,https://images.coinafrique.com/thumb_4172007_uploaded_image1_1681208524.jpg,Colobane, Dakar
Robe,15000,https://images.coinafrique.com/thumb_4168633_uploaded_image1_1680958304.jpg,Colobane, Dakar
Robe,15000,https://images.coinafrique.com/thumb_4168626_uploaded_image1_1680958148.jpg,Colobane, Dakar
Vêtementsenfants,20000,https://images.coinafrique.com/thumb_4167331_uploaded_image1_1680874307.jpg,Colobane, Dakar
Vêtementsenfants,18000,https://images.coinafrique.com/thumb_4167321_uploaded_image1_1680873861.jpg,Colobane, Dakar
Vêtementsenfants,20000,https://images.coinafrique.com/thumb_4167311_uploaded_image1_1680873676.jpg,Colobane, Dakar
Survetmemtpour,1000,https://images.coinafrique.com/thumb_4165543_uploaded_image1_1680781784.jpg,Colobane, Dakar
Jeansbaladeurs,7000,https://images.coinafrique.com/thumb_4157493_uploaded_image1_1680338403.jpg,Colobane, Dakar
Robe,10000,https://images.coinafrique.com/thumb_4153017_uploaded_image1_1680040477.jpg,Dakar Plateau, Dakar
Ensemble,4500,https://images.coinafrique.com/thumb_4153014_uploaded_image1_1680040385.jpg,Dakar Plateau, Dakar
Vêtements,8000,https://images.coinafrique.com/thumb_4154892_uploaded_image1_1680171892.jpg,Colobane, Dakar
Emsemblecoton,8000,https://images.coinafrique.com/thumb_4154884_uploaded_image1_1680171641.jpg,Colobane, Dakar
Vêtements,9000,https://images.coinafrique.com/thumb_4154876_uploaded_image1_1680171312.jpg,Colobane, Dakar
Jeanspourenfants,6000,https://images.coinafrique.com/thumb_4154870_uploaded_image1_1680171128.jpg,Colobane, Dakar
Jeanspourenfants,7000,https://images.coinafrique.com/thumb_4154864_uploaded_image1_1680170947.jpg,Colobane, Dakar
Jeanspourenfants,6000,https://images.coinafrique.com/thumb_4154867_uploaded_image1_1680171042.jpg,Colobane, Dakar
Robepour,10000,https://images.coinafrique.com/thumb_4154854_uploaded_image1_1680170186.jpg,Colobane, Dakar
Colepour,2000,https://images.coinafrique.com/thumb_4126921_uploaded_image1_1678367548.jpg,Colobane, Dakar
Ensemble,5000,https://images.coinafrique.com/thumb_4117238_uploaded_image1_1677785061.jpg,Colobane, Dakar
