type_chauss,prix,image_lien,quartier,region
ChaussuresVans,12000,https://images.coinafrique.com/thumb_4016818_uploaded_image1_1671551435.jpg,Fass, Dakar
BasketsNikeAirForce,12000,https://images.coinafrique.com/thumb_4016813_uploaded_image1_1671551309.jpg,Fass, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_3973618_uploaded_image1_1668985822.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3973611_uploaded_image1_1668985634.jpg,Dakar Plateau, Dakar
ChaussuresStan,13000,https://images.coinafrique.com/thumb_3973636_uploaded_image1_1668986710.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3973627_uploaded_image1_1668986246.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3973630_uploaded_image1_1668986424.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3973621_uploaded_image1_1668985943.jpg,Dakar Plateau, Dakar
Chaussures,16000,https://images.coinafrique.com/thumb_3973631_uploaded_image1_1668986480.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3973607_uploaded_image1_1668985452.jpg,Dakar Plateau, Dakar
BasketsNikeAirJordan,16500,https://images.coinafrique.com/thumb_4015936_uploaded_image2_1671521548.jpeg,Dakar, Sénégal
BasketsNikeAir,14000,https://images.coinafrique.com/thumb_4015930_uploaded_image1_1671521359.jpg,Dakar, Sénégal
BasketsNikeAirForce,13000,https://images.coinafrique.com/thumb_4015926_uploaded_image1_1671521175.jpg,Dakar, Sénégal
ChaussuresBerluti,70000,https://images.coinafrique.com/thumb_4015813_uploaded_image2_1671497446.jpeg,Damel, Dakar
BasketsJordan1,20000,https://images.coinafrique.com/thumb_4014516_uploaded_image1_1671410384.jpg,Mermoz-Sacré Coeur, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3970699_uploaded_image1_1668773526.jpg,Dakar Plateau, Dakar
Chaussures,18000,https://images.coinafrique.com/thumb_3970708_uploaded_image1_1668773732.jpg,Dakar Plateau, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_3970713_uploaded_image1_1668773800.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3970693_uploaded_image1_1668773455.jpg,Dakar Plateau, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_3970689_uploaded_image1_1668773305.jpg,Dakar Plateau, Dakar
Jordan,20000,https://images.coinafrique.com/thumb_4013321_uploaded_image1_1671304785.jpg,Colobane, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4013319_uploaded_image1_1671304728.jpg,Colobane, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4013311_uploaded_image1_1671304530.jpg,Colobane, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3969140_uploaded_image1_1668686070.jpg,Dakar Plateau, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_3969136_uploaded_image1_1668685998.jpg,Dakar Plateau, Dakar
ChaussuresStan,13000,https://images.coinafrique.com/thumb_3969153_uploaded_image1_1668686245.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3969146_uploaded_image1_1668686155.jpg,Dakar Plateau, Dakar
ChaussuresStan,13000,https://images.coinafrique.com/thumb_3969159_uploaded_image1_1668686474.jpg,Dakar Plateau, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_3969157_uploaded_image1_1668686352.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3969129_uploaded_image1_1668685782.jpg,Dakar Plateau, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_4012825_uploaded_image1_1671276918.jpg,Almadies, Dakar
Chaussures,16000,https://images.coinafrique.com/thumb_3969024_uploaded_image1_1668683196.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4010565_uploaded_image1_1671138423.jpg,Patte d'oie, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4010346_uploaded_image1_1671127931.jpg,Dakar, Sénégal
Chaussures,35000,https://images.coinafrique.com/thumb_4009838_uploaded_image1_1671106906.jpg,Ouest Foire, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3966687_uploaded_image1_1668545515.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3966691_uploaded_image1_1668545603.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_3966674_uploaded_image1_1668544984.jpg,Dakar Plateau, Dakar
Chaussures,16000,https://images.coinafrique.com/thumb_3966669_uploaded_image1_1668544709.jpg,Dakar Plateau, Dakar
Chaussures,19000,https://images.coinafrique.com/thumb_3979053_uploaded_image1_1669316028.jpg,Dakar Plateau, Dakar
Chaussures,19000,https://images.coinafrique.com/thumb_3979059_uploaded_image2_1669316281.jpeg,Dakar Plateau, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_4008496_uploaded_image1_1671028600.jpg,Ouakam, Dakar
ChaussuresAir,25000,https://images.coinafrique.com/thumb_3972159_uploaded_image1_1668863380.jpg,Dakar Plateau, Dakar
ChaussuresAir,25000,https://images.coinafrique.com/thumb_4007370_uploaded_image1_1670957212.jpg,Point E, Dakar
Baskets,35000,https://images.coinafrique.com/thumb_4004732_uploaded_image1_1670824851.jpg,Colobane, Dakar
Chaussures,30000,https://images.coinafrique.com/thumb_4003994_uploaded_image1_1670763254.jpg,Colobane, Dakar
Chaussures,28000,https://images.coinafrique.com/thumb_4003992_uploaded_image1_1670763145.jpg,Colobane, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4003985_uploaded_image1_1670762984.jpg,Colobane, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4003977_uploaded_image2_1670762760.jpeg,Colobane, Dakar
Chaussures,30000,https://images.coinafrique.com/thumb_4002832_uploaded_image1_1670672522.jpg,Colobane, Dakar
BasketsAirJordan,25000,https://images.coinafrique.com/thumb_4001528_uploaded_image1_1670585469.jpg,Dakar, Sénégal
Baskets,25000,https://images.coinafrique.com/thumb_4001521_uploaded_image1_1670585217.jpg,Dakar, Sénégal
Chaussures,15000,https://images.coinafrique.com/thumb_3960128_uploaded_image1_1668121599.jpg,Bambey, Sénégal
Chaussures,18000,https://images.coinafrique.com/thumb_3960110_uploaded_image1_1668120968.jpg,Dakar, Sénégal
Chaussures,20000,https://images.coinafrique.com/thumb_3960103_uploaded_image1_1668120803.jpg,Dakar, Sénégal
