web-scraper-order,web-scraper-start-url,type_chaussures_homme,prix,adresse,image-lien-src
"1706025602-31","https://sn.coinafrique.com/categorie/chaussures-homme?page20","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025607-32","https://sn.coinafrique.com/categorie/chaussures-homme?page19","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025613-33","https://sn.coinafrique.com/categorie/chaussures-homme?page18","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025619-34","https://sn.coinafrique.com/categorie/chaussures-homme?page17","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025625-35","https://sn.coinafrique.com/categorie/chaussures-homme?page16","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025631-36","https://sn.coinafrique.com/categorie/chaussures-homme?page15","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025637-37","https://sn.coinafrique.com/categorie/chaussures-homme?page14","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025642-38","https://sn.coinafrique.com/categorie/chaussures-homme?page13","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025648-39","https://sn.coinafrique.com/categorie/chaussures-homme?page12","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025654-40","https://sn.coinafrique.com/categorie/chaussures-homme?page11","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025661-41","https://sn.coinafrique.com/categorie/chaussures-homme?page10","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025667-42","https://sn.coinafrique.com/categorie/chaussures-homme?page9","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025672-43","https://sn.coinafrique.com/categorie/chaussures-homme?page8","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025678-44","https://sn.coinafrique.com/categorie/chaussures-homme?page7","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025687-45","https://sn.coinafrique.com/categorie/chaussures-homme?page6","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025693-46","https://sn.coinafrique.com/categorie/chaussures-homme?page5","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025699-47","https://sn.coinafrique.com/categorie/chaussures-homme?page4","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025706-48","https://sn.coinafrique.com/categorie/chaussures-homme?page3","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025711-49","https://sn.coinafrique.com/categorie/chaussures-homme?page2","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025717-50","https://sn.coinafrique.com/categorie/chaussures-homme?page1","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
