type_chauss,prix,image_lien,quartier,region
Chaussures,7000,https://images.coinafrique.com/thumb_2063093_uploaded_image1_1588710337.jpg,HLM, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_2061931_uploaded_image1_1588694498.jpg,Fann, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_2061930_uploaded_image1_1588694471.jpg,Fann, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_2061928_uploaded_image1_1588694441.jpg,Fann, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_2061925_uploaded_image1_1588694405.jpg,Fann, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_2061921_uploaded_image1_1588694361.jpg,Fann, Dakar
Chaussures,15000,https://images.coinafrique.com/thumb_2059409_uploaded_image1_1588669821.jpg,Fann, Dakar
Chaussons,1000,https://images.coinafrique.com/thumb_1910111_uploaded_image1_1586296633.75.png,Rufisque, Sénégal
Chaussures,10000,https://images.coinafrique.com/thumb_1908886_uploaded_image1_1586280238.42.png,Fass, Dakar
Chaussures,12000,https://images.coinafrique.com/thumb_1907189_uploaded_image1_1586261390.67.png,Fass, Dakar
Chaussures,5000,https://images.coinafrique.com/thumb_1906443_uploaded_image1_1586253297.45.png,Rufisque, Sénégal
Chaussures/bébé,5000,https://images.coinafrique.com/thumb_1906434_uploaded_image1_1586253219.55.png,Rufisque, Sénégal
Chaussuresbébé,5000,https://images.coinafrique.com/thumb_1906399_uploaded_image1_1586252881.19.png,Rufisque, Sénégal
ChaussuresenfantCat&,7000,https://images.coinafrique.com/thumb_1873847_uploaded_image1_1585663572.73.png,Dakar, Sénégal
Chaussures,2000,https://images.coinafrique.com/thumb_1860238_uploaded_image1_1585403818.62.png,Dakar Plateau, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_1711436_uploaded_image1_1582778564.65.png,Les Parcelles Assainies, Dakar
Claquettes,10000,https://images.coinafrique.com/thumb_1679922_uploaded_image1_1582210105.85.png,Dakar Plateau, Dakar
Chaussures,8000,https://images.coinafrique.com/thumb_1607931_uploaded_image1_1581037601.04.png,Les Parcelles Assainies, Dakar
Chaussures,5000,https://images.coinafrique.com/thumb_1581551_uploaded_image1_1580655582.93.png,Fass, Dakar
Chaussurespour,5000,https://images.coinafrique.com/thumb_1581547_uploaded_image1_1580655536.54.png,Fass, Dakar
