type_habit,prix,proprietaire,image_lien,quartier,region
Ensemble,9000,HERITAGE Business,https://images.coinafrique.com/thumb_4434970_uploaded_image1_1698608870.jpg,Colobane, Dakar
Chemise,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4434968_uploaded_image1_1698608779.jpg,Colobane, Dakar
Vêtements,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4434798_uploaded_image1_1698599223.jpg,Colobane, Dakar
Pantalon,9000,HERITAGE Business,https://images.coinafrique.com/thumb_4434552_uploaded_image1_1698580348.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4434550_uploaded_image1_1698580185.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4434547_uploaded_image1_1698580031.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4434542_uploaded_image1_1698579825.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4434544_uploaded_image1_1698579918.jpg,Colobane, Dakar
Vêtements,15000,HERITAGE Business,https://images.coinafrique.com/thumb_4433215_uploaded_image1_1698434533.jpg,Colobane, Dakar
Vêtements,15000,HERITAGE Business,https://images.coinafrique.com/thumb_4433205_uploaded_image1_1698434093.jpg,Colobane, Dakar
Vêtements,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4433207_uploaded_image1_1698434174.jpg,Colobane, Dakar
Vêtements,15000,HERITAGE Business,https://images.coinafrique.com/thumb_4433202_uploaded_image1_1698433926.jpg,Colobane, Dakar
Vêtements,15000,HERITAGE Business,https://images.coinafrique.com/thumb_4433204_uploaded_image1_1698434002.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4431701_uploaded_image1_1698338905.jpg,Colobane, Dakar
Pantalon,7500,HERITAGE Business,https://images.coinafrique.com/thumb_4428250_uploaded_image1_1698148213.jpg,Colobane, Dakar
Vêtements,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4428230_uploaded_image1_1698147718.jpg,Colobane, Dakar
Pantalon,7500,HERITAGE Business,https://images.coinafrique.com/thumb_4427572_uploaded_image1_1698099062.jpg,Colobane, Dakar
Ensemble,11000,HERITAGE Business,https://images.coinafrique.com/thumb_4427571_uploaded_image1_1698098981.jpg,Colobane, Dakar
Ensemble,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4427569_uploaded_image1_1698098877.jpg,Colobane, Dakar
Ensemble,17000,HERITAGE Business,https://images.coinafrique.com/thumb_4423069_uploaded_image1_1697792133.jpg,Colobane, Dakar
Ensemble,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4423067_uploaded_image1_1697791907.jpg,Colobane, Dakar
Chemise,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4423000_uploaded_image1_1697788212.jpg,Colobane, Dakar
,7000,HERITAGE Business,https://images.coinafrique.com/thumb_4422994_uploaded_image1_1697787898.jpg,Colobane, Dakar
Vêtements,6000,HERITAGE Business,https://images.coinafrique.com/thumb_4421855_uploaded_image1_1697640543.jpg,Colobane, Dakar
Jean,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4420828_uploaded_image1_1697575650.jpg,Colobane, Dakar
Ensemble,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4420817_uploaded_image1_1697574912.jpg,Colobane, Dakar
Djellaba,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4414047_uploaded_image1_1697118326.jpg,Colobane, Dakar
T-shirtsen,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4373341_uploaded_image1_1694514312.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4373302_uploaded_image1_1694513090.jpg,Colobane, Dakar
Chemise,7000,HERITAGE Business,https://images.coinafrique.com/thumb_4373211_uploaded_image1_1694509751.jpg,Colobane, Dakar
Ensemble,5000,HERITAGE Business,https://images.coinafrique.com/thumb_4373207_uploaded_image1_1694509593.jpg,Colobane, Dakar
Vêtements,7500,HERITAGE Business,https://images.coinafrique.com/thumb_4373203_uploaded_image1_1694509480.jpg,Colobane, Dakar
Emsemble,7000,HERITAGE Business,https://images.coinafrique.com/thumb_4370925_uploaded_image1_1694346747.jpg,Colobane, Dakar
Chemisesen,7000,HERITAGE Business,https://images.coinafrique.com/thumb_4370915_uploaded_image1_1694346319.jpg,Colobane, Dakar
T-shirtsen,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4339209_uploaded_image1_1692284970.jpg,Colobane, Dakar
Vêtements,10000,HERITAGE Business,https://images.coinafrique.com/thumb_4339494_uploaded_image1_1692295478.jpg,Colobane, Dakar
Vêtements,7000,HERITAGE Business,https://images.coinafrique.com/thumb_4341159_uploaded_image1_1692381596.jpg,Colobane, Dakar
Vêtements,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4314457_uploaded_image1_1690727684.jpg,Colobane, Dakar
Vêtements,6000,HERITAGE Business,https://images.coinafrique.com/thumb_4302214_uploaded_image1_1689872996.jpg,Colobane, Dakar
Vêtements,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4302183_uploaded_image1_1689872061.jpg,Colobane, Dakar
Vêtements,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4302179_uploaded_image1_1689871962.jpg,Colobane, Dakar
Vêtements,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4302175_uploaded_image1_1689871844.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4309195_uploaded_image1_1690374107.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4309198_uploaded_image1_1690374227.jpg,Colobane, Dakar
