type_habit,prix,proprietaire,image_lien,quartier,region
Vêtements,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4020421_uploaded_image1_1671783878.jpg,Colobane, Dakar
Vêtements,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4020407_uploaded_image1_1671783417.jpg,Colobane, Dakar
Vêtements,14000,HERITAGE Business,https://images.coinafrique.com/thumb_4020398_uploaded_image1_1671783111.jpg,Colobane, Dakar
Vêtements,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4020404_uploaded_image1_1671783323.jpg,Colobane, Dakar
Vêtements,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4020058_uploaded_image1_1671748872.jpg,Colobane, Dakar
Vêtements,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4017854_uploaded_image1_1671613712.jpg,Colobane, Dakar
Vêtements,14000,HERITAGE Business,https://images.coinafrique.com/thumb_4017827_uploaded_image1_1671612325.jpg,Colobane, Dakar
Vêtements,11000,HERITAGE Business,https://images.coinafrique.com/thumb_4007931_uploaded_image1_1671007940.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4004991_uploaded_image1_1670840431.jpg,Colobane, Dakar
Blousonen,15000,HERITAGE Business,https://images.coinafrique.com/thumb_4002253_uploaded_image1_1670620115.jpg,Colobane, Dakar
Boubouhommeen,10000,HERITAGE Business,https://images.coinafrique.com/thumb_3964575_uploaded_image1_1668434119.jpg,Colobane, Dakar
Djellaba,15000,HERITAGE Business,https://images.coinafrique.com/thumb_3961956_uploaded_image1_1668248438.jpg,Colobane, Dakar
Djellaba,15000,HERITAGE Business,https://images.coinafrique.com/thumb_3955687_uploaded_image1_1667898785.jpg,Colobane, Dakar
Boubou,12000,HERITAGE Business,https://images.coinafrique.com/thumb_3897438_uploaded_image1_1664401043.jpg,Colobane, Dakar
Boumbou,15000,HERITAGE Business,https://images.coinafrique.com/thumb_3895928_uploaded_image1_1664316181.jpg,Colobane, Dakar
Boumbou,15000,HERITAGE Business,https://images.coinafrique.com/thumb_3895921_uploaded_image1_1664315893.jpg,Colobane, Dakar
Boumbou,15000,HERITAGE Business,https://images.coinafrique.com/thumb_3895925_uploaded_image1_1664316074.jpg,Colobane, Dakar
Boubou,10000,HERITAGE Business,https://images.coinafrique.com/thumb_3890570_uploaded_image1_1663962096.jpg,Colobane, Dakar
